Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 5039.03; Santa Clara County; California,"927,239",0,0.358,0,37.3684579,−121.8355428
Census Tract 5040.01; Santa Clara County; California,"1,137,359",0,0.439,0,37.358625,−121.8272151
Census Tract 5040.02; Santa Clara County; California,"1,026,358",0,0.396,0,37.3546753,−121.8340275
Census Tract 5041.01; Santa Clara County; California,"992,972",0,0.383,0,37.3693439,−121.8203724
Census Tract 5041.02; Santa Clara County; California,"1,342,538",0,0.518,0,37.3640803,−121.8149359
Census Tract 5042.01; Santa Clara County; California,"2,991,958",0,1.155,0,37.3845968,−121.8211354
Census Tract 5042.02; Santa Clara County; California,"15,506,825",0,5.987,0,37.3764599,−121.7923207
Census Tract 5043.07; Santa Clara County; California,"1,690,301",0,0.653,0,37.3907632,−121.8525385
Census Tract 5043.08; Santa Clara County; California,"18,611,790","1,413",7.186,0.001,37.4093718,−121.8131628
Census Tract 5043.11; Santa Clara County; California,"2,176,514",0,0.84,0,37.3775246,−121.8845878
Census Tract 5043.14; Santa Clara County; California,"1,475,544",0,0.57,0,37.4018243,−121.8548256
Census Tract 5043.15; Santa Clara County; California,"1,586,749",0,0.613,0,37.4093269,−121.8596884
Census Tract 5043.16; Santa Clara County; California,"1,128,524",0,0.436,0,37.3869267,−121.8708177
Census Tract 5043.17; Santa Clara County; California,"1,191,011",0,0.46,0,37.3828815,−121.8767483
Census Tract 5043.18; Santa Clara County; California,"4,364,443",0,1.685,0,37.37683,−121.8956853
Census Tract 5043.19; Santa Clara County; California,"2,088,417",0,0.806,0,37.3737018,−121.8672416
Census Tract 5043.20; Santa Clara County; California,"923,882",0,0.357,0,37.402805,−121.8713866
Census Tract 5043.21; Santa Clara County; California,"1,450,237",0,0.56,0,37.3931319,−121.8651427
Census Tract 5043.22; Santa Clara County; California,"3,199,380",0,1.235,0,37.3943438,−121.8929699
Census Tract 5043.23; Santa Clara County; California,"1,289,173",0,0.498,0,37.3988343,−121.8810513
Census Tract 5044.10; Santa Clara County; California,"1,102,136",0,0.426,0,37.4093719,−121.8788884
Census Tract 5044.11; Santa Clara County; California,"1,364,912",0,0.527,0,37.4160962,−121.8648388
Census Tract 5044.12; Santa Clara County; California,"970,313",0,0.375,0,37.4394547,−121.8817696
Census Tract 5044.13; Santa Clara County; California,"632,752",0,0.244,0,37.4373395,−121.9046561
Census Tract 5044.14; Santa Clara County; California,"1,753,933",0,0.677,0,37.4404253,−121.8966446
Census Tract 5044.15; Santa Clara County; California,"1,206,869",0,0.466,0,37.4260378,−121.8694198
Census Tract 5044.16; Santa Clara County; California,"1,122,523",0,0.433,0,37.4207097,−121.8760864
Census Tract 5044.18; Santa Clara County; California,"1,034,808",0,0.4,0,37.4320219,−121.8806285
Census Tract 5044.21; Santa Clara County; California,"1,595,679",0,0.616,0,37.4514096,−121.9009356
Census Tract 5044.22; Santa Clara County; California,"868,140",0,0.335,0,37.4585779,−121.9069469
Census Tract 5044.23; Santa Clara County; California,"556,890",0,0.215,0,37.4335965,−121.8706784
Census Tract 5044.24; Santa Clara County; California,"25,455,452","119,350",9.828,0.046,37.4524963,−121.8635532
Census Tract 5045.05; Santa Clara County; California,"1,930,557",0,0.745,0,37.4089281,−121.9019886
Census Tract 5045.06; Santa Clara County; California,"1,801,461",0,0.696,0,37.4503166,−121.9162075
Census Tract 5045.07; Santa Clara County; California,"1,770,770",0,0.684,0,37.4358428,−121.9128553
Census Tract 5045.08; Santa Clara County; California,"952,049",0,0.368,0,37.4216684,−121.9105196
Census Tract 5045.09; Santa Clara County; California,"3,421,345",0,1.321,0,37.4219626,−121.8902998
